epoch	train_loss	val_loss	lr
1	6.39e-04	6.58e-04	2.000000e-06
2	3.83e-04	5.49e-04	4.000000e-06
3	3.33e-04	4.94e-04	6.000000e-06
4	3.10e-04	4.53e-04	8.000000e-06
5	3.14e-04	4.11e-04	1.000000e-05
6	3.26e-04	4.03e-04	1.000000e-05
7	2.99e-04	3.54e-04	9.987832e-06
8	3.08e-04	5.57e-04	9.951389e-06
9	3.43e-04	6.12e-04	9.890847e-06
10	3.28e-04	3.31e-04	9.806502e-06
11	2.93e-04	6.11e-04	9.698765e-06
12	3.43e-04	3.27e-04	9.568160e-06
13	2.97e-04	4.25e-04	9.415323e-06
14	4.26e-04	3.28e-04	9.241000e-06
15	3.04e-04	5.26e-04	9.046040e-06
16	3.08e-04	4.01e-04	8.831392e-06
17	2.82e-04	4.64e-04	8.598102e-06
18	2.85e-04	5.82e-04	8.347307e-06
19	3.21e-04	4.42e-04	8.080229e-06
20	2.93e-04	3.38e-04	7.798169e-06
21	2.88e-04	3.91e-04	7.502500e-06
22	2.91e-04	5.98e-04	7.194664e-06
23	3.35e-04	4.33e-04	6.876160e-06
24	2.76e-04	3.10e-04	6.548540e-06
25	2.96e-04	3.93e-04	6.213400e-06
26	2.81e-04	2.97e-04	5.872373e-06
27	3.06e-04	3.04e-04	5.527120e-06
28	3.01e-04	4.06e-04	5.179323e-06
29	2.80e-04	3.29e-04	4.830677e-06
30	2.81e-04	3.58e-04	4.482880e-06
31	2.72e-04	3.42e-04	4.137627e-06
32	2.74e-04	3.64e-04	3.796600e-06
33	2.73e-04	3.39e-04	3.461460e-06
34	2.73e-04	4.04e-04	3.133840e-06
35	2.76e-04	4.20e-04	2.815336e-06
36	2.72e-04	3.97e-04	2.507500e-06
37	2.72e-04	4.63e-04	2.211831e-06
38	2.87e-04	3.83e-04	1.929771e-06
39	2.69e-04	3.37e-04	1.662693e-06
40	2.76e-04	3.41e-04	1.411898e-06
41	2.69e-04	3.70e-04	1.178608e-06
42	2.67e-04	3.75e-04	9.639601e-07
43	2.67e-04	3.78e-04	7.689998e-07
44	2.66e-04	3.75e-04	5.946768e-07
45	2.66e-04	3.69e-04	4.418404e-07
46	2.66e-04	3.59e-04	3.112354e-07
47	2.66e-04	3.60e-04	2.034978e-07
48	2.66e-04	3.61e-04	1.191527e-07
49	2.66e-04	3.61e-04	5.861100e-08
50	2.66e-04	3.61e-04	2.216757e-08
