epoch	train_loss	val_loss	lr
1	4.58e-04	6.48e-04	2.000000e-06
2	3.65e-04	4.47e-04	4.000000e-06
3	3.05e-04	3.87e-04	6.000000e-06
4	3.02e-04	4.07e-04	8.000000e-06
5	3.05e-04	3.68e-04	1.000000e-05
6	3.26e-04	6.54e-04	1.000000e-05
7	3.27e-04	3.76e-04	9.987821e-06
8	3.68e-04	4.51e-04	9.951345e-06
9	2.92e-04	6.00e-04	9.890749e-06
10	3.33e-04	4.42e-04	9.806328e-06
11	3.01e-04	6.07e-04	9.698493e-06
12	3.41e-04	3.45e-04	9.567771e-06
13	3.12e-04	3.47e-04	9.414796e-06
14	2.88e-04	3.01e-04	9.240316e-06
15	2.99e-04	5.24e-04	9.045180e-06
16	3.13e-04	4.19e-04	8.830339e-06
17	2.94e-04	3.85e-04	8.596839e-06
18	2.79e-04	6.14e-04	8.345818e-06
19	3.16e-04	3.37e-04	8.078500e-06
20	2.76e-04	4.12e-04	7.796185e-06
21	2.82e-04	3.57e-04	7.500250e-06
22	2.78e-04	5.60e-04	7.192137e-06
23	3.10e-04	3.42e-04	6.873346e-06
24	3.03e-04	3.38e-04	6.545430e-06
25	2.89e-04	3.86e-04	6.209989e-06
26	2.85e-04	3.60e-04	5.868654e-06
27	2.81e-04	3.65e-04	5.523090e-06
28	2.92e-04	4.28e-04	5.174980e-06
29	2.79e-04	4.65e-04	4.826020e-06
30	2.76e-04	4.12e-04	4.477910e-06
31	2.72e-04	4.22e-04	4.132346e-06
32	2.70e-04	4.16e-04	3.791011e-06
33	2.72e-04	3.19e-04	3.455570e-06
34	2.76e-04	4.37e-04	3.127654e-06
35	2.75e-04	3.51e-04	2.808863e-06
36	2.75e-04	3.36e-04	2.500750e-06
37	2.80e-04	3.43e-04	2.204815e-06
38	2.69e-04	3.46e-04	1.922500e-06
39	2.66e-04	3.18e-04	1.655182e-06
40	2.81e-04	3.38e-04	1.404161e-06
41	2.67e-04	3.43e-04	1.170661e-06
42	2.66e-04	3.35e-04	9.558195e-07
43	2.68e-04	3.48e-04	7.606835e-07
44	2.65e-04	3.53e-04	5.862035e-07
45	2.65e-04	3.58e-04	4.332295e-07
46	2.64e-04	3.64e-04	3.025067e-07
47	2.63e-04	3.63e-04	1.946722e-07
48	2.64e-04	3.64e-04	1.102511e-07
49	2.63e-04	3.65e-04	4.965479e-08
50	2.63e-04	3.65e-04	1.317853e-08
