epoch	train_loss	val_loss	lr
1	5.54e-04	6.82e-04	2.000000e-06
2	3.95e-04	4.63e-04	4.000000e-06
3	3.05e-04	4.10e-04	6.000000e-06
4	3.04e-04	4.18e-04	8.000000e-06
5	3.03e-04	3.47e-04	1.000000e-05
6	3.02e-04	4.24e-04	1.000000e-05
7	2.94e-04	3.33e-04	9.989038e-06
8	3.19e-04	7.39e-04	9.956206e-06
9	3.48e-04	3.18e-04	9.901664e-06
10	3.33e-04	3.80e-04	9.825678e-06
11	2.92e-04	4.09e-04	9.728617e-06
12	2.88e-04	3.66e-04	9.610955e-06
13	2.93e-04	4.10e-04	9.473264e-06
14	2.79e-04	4.93e-04	9.316216e-06
15	2.99e-04	7.38e-04	9.140576e-06
16	3.66e-04	3.58e-04	8.947200e-06
17	2.79e-04	4.02e-04	8.737029e-06
18	2.89e-04	3.35e-04	8.511088e-06
19	3.00e-04	3.11e-04	8.270477e-06
20	2.98e-04	3.63e-04	8.016368e-06
21	2.88e-04	4.79e-04	7.750000e-06
22	2.91e-04	4.31e-04	7.472670e-06
23	2.89e-04	3.29e-04	7.185730e-06
24	3.09e-04	4.32e-04	6.890576e-06
25	2.83e-04	6.01e-04	6.588649e-06
26	3.09e-04	3.02e-04	6.281417e-06
27	3.04e-04	3.55e-04	5.970378e-06
28	2.73e-04	5.10e-04	5.657048e-06
29	2.94e-04	3.77e-04	5.342952e-06
30	2.74e-04	4.03e-04	5.029622e-06
31	2.69e-04	3.75e-04	4.718583e-06
32	2.73e-04	3.28e-04	4.411351e-06
33	2.71e-04	3.93e-04	4.109424e-06
34	2.67e-04	3.92e-04	3.814270e-06
35	2.69e-04	3.21e-04	3.527330e-06
36	2.74e-04	3.38e-04	3.250000e-06
37	2.68e-04	3.85e-04	2.983632e-06
38	2.82e-04	3.43e-04	2.729523e-06
39	2.68e-04	3.91e-04	2.488912e-06
40	2.65e-04	3.35e-04	2.262971e-06
41	2.73e-04	3.87e-04	2.052800e-06
42	2.68e-04	4.31e-04	1.859424e-06
43	2.73e-04	4.27e-04	1.683784e-06
44	2.71e-04	4.11e-04	1.526736e-06
45	2.69e-04	4.15e-04	1.389045e-06
46	2.68e-04	4.14e-04	1.271383e-06
47	2.71e-04	3.96e-04	1.174322e-06
48	2.65e-04	3.95e-04	1.098336e-06
49	2.64e-04	3.96e-04	1.043794e-06
50	2.64e-04	3.82e-04	1.010962e-06
