epoch	train_loss	val_loss	lr
1	4.99e-04	6.43e-04	2.000000e-06
2	3.57e-04	4.81e-04	4.000000e-06
3	3.06e-04	4.11e-04	6.000000e-06
4	3.06e-04	3.48e-04	8.000000e-06
5	3.31e-04	4.51e-04	1.000000e-05
6	3.05e-04	4.07e-04	1.000000e-05
7	3.26e-04	5.52e-04	9.987942e-06
8	3.33e-04	5.35e-04	9.951827e-06
9	2.95e-04	3.95e-04	9.891831e-06
10	2.97e-04	5.00e-04	9.808245e-06
11	3.00e-04	3.22e-04	9.701478e-06
12	3.24e-04	3.86e-04	9.572050e-06
13	2.84e-04	3.33e-04	9.420591e-06
14	3.60e-04	5.35e-04	9.247838e-06
15	2.93e-04	4.31e-04	9.054634e-06
16	2.91e-04	4.86e-04	8.841920e-06
17	2.96e-04	4.87e-04	8.610732e-06
18	2.81e-04	3.61e-04	8.362197e-06
19	2.84e-04	4.78e-04	8.097524e-06
20	2.97e-04	3.77e-04	7.818005e-06
21	2.80e-04	6.13e-04	7.525000e-06
22	3.30e-04	3.30e-04	7.219937e-06
23	2.84e-04	4.36e-04	6.904303e-06
24	2.85e-04	3.44e-04	6.579634e-06
25	2.79e-04	3.04e-04	6.247513e-06
26	2.91e-04	4.62e-04	5.909558e-06
27	2.74e-04	3.40e-04	5.567416e-06
28	3.55e-04	3.06e-04	5.222753e-06
29	2.85e-04	3.34e-04	4.877247e-06
30	2.80e-04	3.99e-04	4.532584e-06
31	2.72e-04	3.68e-04	4.190442e-06
32	2.69e-04	3.97e-04	3.852487e-06
33	2.70e-04	3.39e-04	3.520366e-06
34	2.70e-04	3.66e-04	3.195697e-06
35	2.68e-04	3.55e-04	2.880063e-06
36	2.68e-04	3.60e-04	2.575000e-06
37	2.68e-04	3.88e-04	2.281995e-06
38	2.69e-04	3.94e-04	2.002476e-06
39	2.70e-04	4.35e-04	1.737803e-06
40	2.78e-04	4.19e-04	1.489268e-06
41	2.73e-04	4.10e-04	1.258080e-06
42	2.69e-04	4.03e-04	1.045366e-06
43	2.67e-04	4.02e-04	8.521619e-07
44	2.67e-04	4.00e-04	6.794094e-07
45	2.67e-04	3.94e-04	5.279500e-07
46	2.66e-04	3.87e-04	3.985215e-07
47	2.65e-04	3.81e-04	2.917546e-07
48	2.64e-04	3.75e-04	2.081694e-07
49	2.64e-04	3.72e-04	1.481731e-07
50	2.64e-04	3.73e-04	1.120580e-07
